,date,location,count,plate,sample,colour,image,coef,before event,after event,event,date_sample,label,medium,doy,week,d,year
102,2016-08-02,MRD,0.0,1,MRD1,turq,,100,False,True,False,"('2016-08-02', 'MRD1')",Other,EasyGel,215,31,2016-08-02,2016
103,2016-08-09,MRD,1.0,1,MRD1,turq,,100,False,True,False,"('2016-08-09', 'MRD1')",Other,EasyGel,222,32,2016-08-09,2016
104,2016-07-05,SVT,0.0,1,SVT1,turq,,100,False,False,True,"('2016-07-05', 'SVT1')",Other,EasyGel,187,27,2016-07-05,2016
105,2016-07-12,SVT,9.0,1,SVT1,turq,,100,False,False,True,"('2016-07-12', 'SVT1')",Other,EasyGel,194,28,2016-07-12,2016
106,2016-07-19,SVT,0.0,1,SVT1,turq,,100,False,True,False,"('2016-07-19', 'SVT1')",Other,EasyGel,201,29,2016-07-19,2016
107,2016-06-21,SVT,0.0,1,SVT1,turq,,100,True,False,False,"('2016-06-21', 'SVT1')",Other,EasyGel,173,25,2016-06-21,2016
108,2016-06-28,SVT,0.0,1,SVT1,turq,,100,True,False,False,"('2016-06-28', 'SVT1')",Other,EasyGel,180,26,2016-06-28,2016
109,2016-07-26,SVT,0.0,1,SVT1,turq,,100,False,True,False,"('2016-07-26', 'SVT1')",Other,EasyGel,208,30,2016-07-26,2016
110,2016-08-02,SVT,0.0,1,SVT1,turq,,100,False,True,False,"('2016-08-02', 'SVT1')",Other,EasyGel,215,31,2016-08-02,2016
111,2016-08-09,SVT,0.0,1,SVT1,turq,,100,False,True,False,"('2016-08-09', 'SVT1')",Other,EasyGel,222,32,2016-08-09,2016
112,2016-07-05,VNX,0.0,1,VNX1,turq,,100,False,False,True,"('2016-07-05', 'VNX1')",Other,EasyGel,187,27,2016-07-05,2016
113,2016-07-12,VNX,1.0,1,VNX1,turq,,100,False,False,True,"('2016-07-12', 'VNX1')",Other,EasyGel,194,28,2016-07-12,2016
114,2016-07-19,VNX,1.0,1,VNX1,turq,,100,False,True,False,"('2016-07-19', 'VNX1')",Other,EasyGel,201,29,2016-07-19,2016
115,2016-06-21,VNX,0.0,1,VNX1,turq,,100,True,False,False,"('2016-06-21', 'VNX1')",Other,EasyGel,173,25,2016-06-21,2016
116,2016-06-28,VNX,1.0,1,VNX1,turq,,100,True,False,False,"('2016-06-28', 'VNX1')",Other,EasyGel,180,26,2016-06-28,2016
117,2016-07-26,VNX,0.0,1,VNX1,turq,,100,False,True,False,"('2016-07-26', 'VNX1')",Other,EasyGel,208,30,2016-07-26,2016
118,2016-08-09,VNX,1.0,1,VNX1,turq,,100,False,True,False,"('2016-08-09', 'VNX1')",Other,EasyGel,222,32,2016-08-09,2016
119,2016-08-02,VNX,0.0,1,VNX1,turq,,100,False,True,False,"('2016-08-02', 'VNX1')",Other,EasyGel,215,31,2016-08-02,2016
120,2016-07-05,MRD,0.4,1,MRD1,sample,,100,False,False,True,"('2016-07-05', 'MRD1')",Other,EasyGel,187,27,2016-07-05,2016
121,2016-07-12,MRD,4.0,1,MRD1,sample,,100,False,False,True,"('2016-07-12', 'MRD1')",Other,EasyGel,194,28,2016-07-12,2016
122,2016-07-19,MRD,4.0,1,MRD1,sample,,100,False,True,False,"('2016-07-19', 'MRD1')",Other,EasyGel,201,29,2016-07-19,2016
123,2016-06-21,MRD,1.0,1,MRD1,sample,,100,True,False,False,"('2016-06-21', 'MRD1')",Other,EasyGel,173,25,2016-06-21,2016
124,2016-06-28,MRD,4.0,1,MRD1,sample,,100,True,False,False,"('2016-06-28', 'MRD1')",Other,EasyGel,180,26,2016-06-28,2016
125,2016-07-26,MRD,4.0,1,MRD1,sample,,100,False,True,False,"('2016-07-26', 'MRD1')",Other,EasyGel,208,30,2016-07-26,2016
126,2016-08-02,MRD,4.0,1,MRD1,sample,,100,False,True,False,"('2016-08-02', 'MRD1')",Other,EasyGel,215,31,2016-08-02,2016
127,2016-08-09,MRD,4.0,1,MRD1,sample,,100,False,True,False,"('2016-08-09', 'MRD1')",Other,EasyGel,222,32,2016-08-09,2016
128,2016-07-05,SVT,0.4,1,SVT1,sample,,100,False,False,True,"('2016-07-05', 'SVT1')",Other,EasyGel,187,27,2016-07-05,2016
129,2016-07-12,SVT,4.0,1,SVT1,sample,,100,False,False,True,"('2016-07-12', 'SVT1')",Other,EasyGel,194,28,2016-07-12,2016
130,2016-07-19,SVT,4.0,1,SVT1,sample,,100,False,True,False,"('2016-07-19', 'SVT1')",Other,EasyGel,201,29,2016-07-19,2016
131,2016-06-21,SVT,1.0,1,SVT1,sample,,100,True,False,False,"('2016-06-21', 'SVT1')",Other,EasyGel,173,25,2016-06-21,2016
132,2016-06-28,SVT,4.0,1,SVT1,sample,,100,True,False,False,"('2016-06-28', 'SVT1')",Other,EasyGel,180,26,2016-06-28,2016
133,2016-07-26,SVT,4.0,1,SVT1,sample,,100,False,True,False,"('2016-07-26', 'SVT1')",Other,EasyGel,208,30,2016-07-26,2016
134,2016-08-02,SVT,4.0,1,SVT1,sample,,100,False,True,False,"('2016-08-02', 'SVT1')",Other,EasyGel,215,31,2016-08-02,2016
135,2016-08-09,SVT,4.0,1,SVT1,sample,,100,False,True,False,"('2016-08-09', 'SVT1')",Other,EasyGel,222,32,2016-08-09,2016
136,2016-07-05,VNX,0.4,1,VNX1,sample,,100,False,False,True,"('2016-07-05', 'VNX1')",Other,EasyGel,187,27,2016-07-05,2016
137,2016-07-12,VNX,4.0,1,VNX1,sample,,100,False,False,True,"('2016-07-12', 'VNX1')",Other,EasyGel,194,28,2016-07-12,2016
138,2016-07-19,VNX,4.0,1,VNX1,sample,,100,False,True,False,"('2016-07-19', 'VNX1')",Other,EasyGel,201,29,2016-07-19,2016
139,2016-06-21,VNX,1.0,1,VNX1,sample,,100,True,False,False,"('2016-06-21', 'VNX1')",Other,EasyGel,173,25,2016-06-21,2016
140,2016-06-28,VNX,4.0,1,VNX1,sample,,100,True,False,False,"('2016-06-28', 'VNX1')",Other,EasyGel,180,26,2016-06-28,2016
141,2016-07-26,VNX,4.0,1,VNX1,sample,,100,False,True,False,"('2016-07-26', 'VNX1')",Other,EasyGel,208,30,2016-07-26,2016
142,2016-08-09,VNX,4.0,1,VNX1,sample,,100,False,True,False,"('2016-08-09', 'VNX1')",Other,EasyGel,222,32,2016-08-09,2016
