date,site,plate-number,category,count,week,is-jazz
2022-07-04,mrd,3,coliform,13,5,True
2022-07-04,mrd,4,coliform,29,5,True
2022-07-04,mrd,5,coliform,50,5,True
2022-07-04,mrd,6,coliform,43,5,True
2022-07-06,vnx,1,coliform,20,5,True
2022-07-06,vnx,2,coliform,11,5,True
2022-07-06,vnx,3,coliform,22,5,True
2022-07-06,svt,1,coliform,20,5,True
2022-07-06,svt,2,coliform,21,5,True
2022-07-06,svt,3,coliform,28,5,True
2022-07-06,mrd,1,coliform,62,5,True
2022-07-06,mrd,2,coliform,42,5,True
2022-07-06,mrd,3,coliform,56,5,True
2022-07-08,vnx,1,coliform,32,5,True
2022-07-08,vnx,2,coliform,53,5,True
2022-07-08,vnx,3,coliform,51,5,True
2022-07-08,svt,1,coliform,64,5,True
2022-07-08,svt,2,coliform,52,5,True
2022-07-08,svt,3,coliform,20,5,True
2022-07-08,mrd,1,coliform,0,5,True
2022-07-08,mrd,2,coliform,38,5,True
2022-07-08,mrd,3,coliform,32,5,True
2022-07-10,vnx,1,coliform,33,5,True
2022-07-10,vnx,2,coliform,21,5,True
2022-07-10,vnx,3,coliform,37,5,True
2022-07-10,svt,1,coliform,54,5,True
2022-07-10,svt,2,coliform,33,5,True
2022-07-10,svt,3,coliform,60,5,True
2022-07-10,mrd,1,coliform,49,6,True
2022-07-10,mrd,2,coliform,50,6,True
2022-07-10,mrd,3,coliform,61,6,True
2022-07-11,vnx,1,coliform,33,6,True
2022-07-11,vnx,2,coliform,23,6,True
2022-07-11,vnx,3,coliform,47,6,True
2022-07-11,vnx,4,coliform,40,6,True
2022-07-11,vnx,5,coliform,34,6,True
2022-07-11,svt,1,coliform,44,6,True
2022-07-11,svt,2,coliform,31,6,True
2022-07-11,svt,3,coliform,32,6,True
2022-07-11,svt,4,coliform,48,6,True
2022-07-11,svt,5,coliform,53,6,True
2022-07-11,svt,6,coliform,57,6,True
2022-07-11,mrd,1,coliform,44,6,True
2022-07-11,mrd,2,coliform,72,6,True
2022-07-11,mrd,3,coliform,36,6,True
2022-07-11,mrd,4,coliform,46,6,True
2022-07-11,mrd,5,coliform,36,6,True
2022-07-11,mrd,6,coliform,21,6,True
2022-07-12,vnx,1,coliform,14,6,True
2022-07-12,vnx,2,coliform,4,6,True
2022-07-12,vnx,3,coliform,13,6,True
2022-07-12,svt,1,coliform,20,6,True
2022-07-12,svt,2,coliform,16,6,True
2022-07-12,svt,3,coliform,26,6,True
2022-07-12,mrd,1,coliform,21,6,True
2022-07-12,mrd,2,coliform,27,7,True
2022-07-12,mrd,3,coliform,20,7,True
2022-07-14,vnx,1,coliform,14,7,True
2022-07-14,vnx,2,coliform,9,7,True
2022-07-14,vnx,3,coliform,3,7,True
2022-07-14,svt,1,coliform,23,7,True
2022-07-14,svt,2,coliform,17,7,True
2022-07-14,svt,3,coliform,6,7,True
2022-07-14,mrd,1,coliform,8,7,True
2022-07-14,mrd,2,coliform,29,7,True
2022-07-14,mrd,3,coliform,8,7,True
2022-07-18,vnx,1,coliform,28,7,False
2022-07-18,vnx,4,coliform,44,7,False
2022-07-18,vnx,5,coliform,31,7,False
2022-07-18,svt,1,coliform,19,7,False
2022-07-18,svt,2,coliform,14,7,False
2022-07-18,svt,3,coliform,17,7,False
2022-07-18,svt,4,coliform,29,7,False
2022-07-18,svt,5,coliform,34,7,False
2022-07-18,svt,6,coliform,39,7,False
2022-07-18,mrd,1,coliform,102,7,False
2022-07-18,mrd,2,coliform,38,8,False
2022-07-18,mrd,3,coliform,100,8,False
2022-07-18,mrd,4,coliform,51,8,False
2022-07-18,mrd,5,coliform,76,8,False
2022-07-18,mrd,6,coliform,55,8,False
2022-07-25,vnx,1,coliform,37,8,False
2022-07-25,vnx,2,coliform,40,8,False
2022-07-25,vnx,3,coliform,56,8,False
2022-07-25,vnx,4,coliform,49,8,False
2022-07-25,vnx,5,coliform,42,8,False
2022-07-25,vnx,6,coliform,27,8,False
2022-07-25,svt,1,coliform,59,8,False
2022-07-25,svt,2,coliform,47,8,False
2022-07-25,svt,3,coliform,56,8,False
2022-07-25,svt,4,coliform,34,8,False
2022-07-25,svt,5,coliform,41,8,False
2022-07-25,svt,6,coliform,79,8,False
2022-07-25,mrd,1,coliform,35,8,False
2022-07-25,mrd,2,coliform,52,8,False
2022-07-25,mrd,3,coliform,70,8,False
2022-07-25,mrd,4,coliform,43,8,False
2022-07-25,mrd,5,coliform,36,8,False
2022-07-25,mrd,6,coliform,58,8,False
2022-08-01,mrd,4,coliform,12,8,False
2022-08-01,svt,5,coliform,28,8,False
2022-08-01,svt,6,coliform,23,8,False
2022-08-01,svt,3,coliform,8,8,False
2022-08-01,svt,4,coliform,21,8,False
2022-08-01,svt,1,coliform,15,8,False
2022-08-01,svt,2,coliform,18,8,False
2022-08-01,vnx,1,coliform,18,9,False
2022-08-01,vnx,2,coliform,20,9,False
2022-08-01,vnx,3,coliform,37,9,False
2022-08-01,vnx,4,coliform,45,9,False
2022-08-01,vnx,5,coliform,29,9,False
2022-08-01,vnx,6,coliform,34,9,False
2022-08-01,mrd,5,coliform,17,9,False
2022-08-01,mrd,6,coliform,17,9,False
2022-08-01,mrd,3,coliform,3,9,False
2022-08-01,mrd,4,coliform,16,9,False
2022-08-01,mrd,1,coliform,17,9,False
2022-08-01,mrd,2,coliform,12,9,False
2022-09-12,vnx,1,coliform,22,9,False
2022-09-12,vnx,2,coliform,24,9,False
2022-09-12,vnx,3,coliform,23,9,False
2022-09-12,vnx,4,coliform,26,9,False
2022-09-12,vnx,5,coliform,25,9,False
2022-09-12,vnx,6,coliform,17,9,False
2022-09-12,svt,1,coliform,28,9,False
2022-09-12,svt,2,coliform,24,9,False
2022-09-12,svt,3,coliform,17,9,False
2022-09-12,svt,4,coliform,31,9,False
2022-09-12,svt,5,coliform,21,9,False
2022-09-12,svt,6,coliform,22,9,False
2022-09-12,mrd,1,coliform,13,9,False
2022-09-12,mrd,2,coliform,20,9,False
2022-09-12,mrd,3,coliform,4,9,False
2022-09-12,mrd,4,coliform,12,9,False
2022-09-12,mrd,5,coliform,11,9,False
2022-09-12,mrd,6,coliform,3,9,False
2022-07-04,pform05,1,turquoise,0,1,True
2022-07-04,pform05,2,turquoise,0,1,True
2022-07-04,pform05,3,turquoise,0,1,True
2022-07-04,pform05,4,turquoise,0,1,True
2022-07-04,pform05,5,turquoise,0,1,True
2022-07-04,pform05,6,turquoise,0,1,True
2022-07-11,pform05,1,turquoise,0,1,True
2022-07-11,pform05,2,turquoise,0,1,True
2022-07-11,pform05,3,turquoise,0,1,True
2022-07-11,pform05,4,turquoise,0,1,True
2022-07-11,pform05,5,turquoise,0,1,True
2022-07-11,pform05,6,turquoise,0,2,True
2022-07-18,pform05,1,turquoise,0,2,False
2022-07-18,pform05,2,turquoise,0,2,False
2022-07-18,pform05,4,turquoise,0,2,False
2022-07-18,pform05,5,turquoise,0,2,False
2022-07-18,pform05,6,turquoise,0,2,False
2022-07-25,pform05,1,turquoise,0,2,False
2022-07-25,pform05,2,turquoise,0,2,False
2022-07-25,pform05,3,turquoise,0,2,False
2022-07-25,pform05,4,turquoise,0,2,False
2022-07-25,pform05,5,turquoise,2,2,False
2022-07-25,pform05,6,turquoise,0,2,False
2022-08-03,pform05,1,turquoise,0,2,False
2022-08-03,pform05,2,turquoise,0,2,False
2022-08-03,pform05,3,turquoise,0,2,False
2022-08-03,pform05,4,turquoise,0,2,False
2022-08-03,pform05,5,turquoise,0,3,False
2022-08-03,pform05,6,turquoise,0,3,False
2022-09-12,pform05,1,turquoise,0,3,False
2022-09-12,pform05,2,turquoise,0,3,False
2022-09-12,pform05,3,turquoise,1,3,False
2022-09-12,pform05,4,turquoise,0,3,False
2022-09-12,pform05,5,turquoise,0,3,False
2022-09-12,pform05,6,turquoise,0,3,False
2022-09-12,pform5,1,turquoise,0,3,False
2022-09-12,pform5,2,turquoise,0,3,False
2022-09-12,pform5,3,turquoise,0,3,False
2022-09-12,pform5,4,turquoise,0,3,False
2022-09-12,pform5,5,turquoise,0,3,False
2022-09-12,pform5,6,turquoise,0,3,False
2022-07-18,Clarens ,1,turquoise,1,3,False
2022-07-18,Clarens ,2,turquoise,2,3,False
2022-07-18,Clarens ,3,turquoise,0,3,False
2022-08-01,Clarens ,1,turquoise,4,3,False
2022-08-01,Clarens ,2,turquoise,1,3,False
2022-08-01,Clarens ,3,turquoise,3,3,False
2022-08-01,Clarens ,4,turquoise,2,3,False
2022-08-01,Clarens ,5,turquoise,2,3,False
2022-06-13,svt,2,turquoise,0,3,False
2022-06-13,svt,3,turquoise,4,3,False
2022-06-13,svt,4,turquoise,5,3,False
2022-06-13,svt,5,turquoise,6,3,False
2022-06-13,svt,6,turquoise,2,3,False
2022-06-13,vnx,1,turquoise,2,3,False
2022-06-13,vnx,2,turquoise,6,3,False
2022-06-13,vnx,3,turquoise,1,3,False
2022-06-13,vnx,4,turquoise,1,3,False
2022-06-13,vnx,5,turquoise,1,3,False
2022-06-13,vnx,6,turquoise,1,3,False
2022-06-20,vnx,1,turquoise,0,3,False
2022-06-20,vnx,2,turquoise,24,4,False
2022-06-20,vnx,3,turquoise,18,4,False
